#Arquivo 4
30s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 149
30s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 271
50s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 140
50s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 44
60s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 140
60s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
70s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 142
70s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
80s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 143
80s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 30
90s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 142
90s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
100s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 140
100s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 30
160s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 142
160s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
190s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 137
190s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
#FimArquivo4

