#Arquivo 16
40s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 133
40s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 272
50s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 862
50s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 118
60s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 137
60s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
70s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 137
70s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
90s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 135
90s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
120s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 141
120s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
140s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 138
140s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 30
160s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 138
160s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
170s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 141
170s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
190s ExecutionModule:Run(): Decision time => Seconds: 0, Miliseconds: 137
190s ExecutionModule:Run(): Handover time => Seconds: 0, Miliseconds: 31
#FimArquivo16

